feature,importance
price_pct_of_7d_range,1114515.345293045
price_deviation_7d,436696.5208835602
renewable_penetration,251438.40636825562
price_deviation_7d_pct,138414.97053909302
wind_forecast,34050.534415245056
hour_sin,31919.914924621582
price_lag_24h,10825.844295501709
hour_cos,3821.6500244140625
total_load_forecast,3543.470185279846
price_rolling_24h_mean,1598.2099885940552
total_renewable_forecast,1419.607759475708
wind_forecast_lag_24h,1295.21670627594
day_of_week,842.0167236328125
price_rolling_7d_mean,803.7823038101196
hour_of_day,661.0525093078613
price_rolling_7d_std,536.3776063919067
price_rolling_24h_std,517.6815032958984
price_lag_7d,504.1223945617676
load_lag_24h,376.1549015045166
price_rolling_7d_min,352.18260192871094
solar_forecast_rolling_24h_mean,323.24107241630554
solar_forecast_lag_24h,296.9751091003418
wind_share,290.94610595703125
price_lag_48h,165.67880249023438
wind_forecast_rolling_24h_mean,122.67119979858398
solar_share,109.92829895019531
is_peak_hour,106.32730102539062
solar_forecast_rolling_7d_mean,95.21980285644531
solar_forecast,81.77519989013672
wind_forecast_rolling_7d_mean,55.02880096435547
month,0.0
is_weekend,0.0
quarter,0.0
price_rolling_7d_max,0.0
day_of_year,0.0
month_sin,0.0
is_winter,0.0
is_summer,0.0
month_cos,0.0
